state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,school_id,school_name,no_of_student,school_category,school_subcategory,update_date
Karnataka,"Bengaluru Urban",Anekal,Mugalur,Kugur,Kugur,0000373527,0002740465,GHPS,57,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mugalur,Kugur,Kugur,0000373527,0000056694,"Govt. High School",60,Govt.,"Secondary/Sr. Sec. with grades 6 to 10",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Billapura,Adigarakallahalli,Adigarakallahalli,0000373538,0000056703,"Govt. Urdu Higher Primary School",155,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Handenahalli,Handenahalli,Handenahalli,0000373542,0000056709,"Govt. Upper Primary School",80,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neriga,Neriga,Neriga,0000373564,0000056739,"Govt. Higher Primary School",17,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Dommasandra,Dommasandra,Dommasandra,0000373592,0000056772,"Govt. Upper Primary School Janatha colony",132,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Samandur,Sabmangala,Sabmangala,0000373266,0000056402,"Govt. higher Primary School",119,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Samandur,Gudnahalli,Gudnahalli,0000373267,0000056404,"Govt. Lower Primary School",25,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Samandur,"Chennana Agrahara","Chennana Agrahara",0000373268,0000056406,"Govt. Lower Primary School",7,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Samandur,Geritiganabele,Geritiganabele,0000373269,0000056407,"Govt. Higher Primary School",67,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Karpoor,Rachamanahalli,Rachamanahalli,0000373280,0000056426,"Govt. Lower Primary School",16,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Surgajakanahalli,Sonnayakanapura,Sonnayakanapura,0000373288,0000056435,"Govt. Lower Primary School",13,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Surgajakanahalli,Aduru,Aduru,0000373295,0000056442,"Govt. Primary School",19,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Vannakanahalli,Choodenahalli,Choodenahalli,0000373298,0000056446,"Govt. Lower Primary School",40,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Haragadde,Lingapura,Lingapura,0000373348,0000056502,"Govt. Higher Primary School",12,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Haragadde,"Nosenur Gollahalli","Nosenur Gollahalli",0000373353,0000056510,"Govt. Lower Primary School",11,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Kallabalu,Yallammanadoddi,"Yallammana Doddi",0000373376,0000056539,"Govt. Lower   Primary School",24,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neralur,Itchangur,Itchangur,0000373474,0000056614,"Govt. lower Primary School",28,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Bidaraguppe,Jigala,Jigala,0000373496,0000056643,"Govt. Primary School",17,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mugalur,Thindlu,Thindlu,0000373517,0000056682,"Govt. Lower Primary School",94,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mayasandra,Kamblipura,Kamblipura,0000373492,0002673702,"Govt. Lower Primary School",34,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mugalur,Mugalur,Mugalur,0000373524,0001880913,"Govt. Higher Primary School",78,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Handenahalli,"S. Medihalli","S. Medihalli",0000373539,0000056705,"Govt. Lower Primary School",12,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Yamare,Yamare,Yamare,0000373549,0000056716,"Govt. Lower Primary School",27,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Muthanallur,"Chikka Thimmasandra","Chikka Thimmasandra",0000373555,0000056724,"Govt.  Lower Primary School",9,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neriga,Chikkadasarahalli,Chikkadasarahalli,0000373563,0000056738,"Govt. Lower Primary School",10,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Huskuru,Chookasandra,Chookasandra,0000373576,0000056754,"Govt. Lower Primary School",12,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Huskuru,Gulimangala,Gulimangala,0000373583,0000056762,"Govt. Lower Primary School",12,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Shantipura,Gattahalli,Gattahalli,0000373587,0000056765,"Govt. Primary School",43,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Ballur,Dasanapura,Dasanapura,0001622876,0001834873,"Govt. Higher Primary School",67,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Marsoor,Marsoor,Marsoor,0000373309,0000056461,"Govt. Higher Primary School",192,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
