Academic_Year,State_Code,State_Name,District_Code,District_Name,School_Management_Id,School_Management_Name,School_Category_Id,School_Category_Name,Academic_Qualification_Id,Academic_Qualification_Name,Professional_Qualification_Id,Professional_Qualification_Name,Only_Pre_Primary_Male,Only_Pre_Primary_Female,Pre_Primary_and_Primary_Male,Pre_Primary_and_Primary_Female,Only_Primary_Male,Only_Primary_Female,Primary_and_Upperprimary_Male,Primary_and_Upperprimary_Female,Only_Upperprimary_Male,Only_Upperprimary_Female,Upperprimary_and_Secondary_Male,Upperprimary_and_Secondary_Female,Only_Secondary_Male,Only_Secondary_Female,Secondary_and_Highersecondary_Male,Secondary_and_Highersecondary_Female,Only_Highersecondary_Male,Only_Highersecondary_Female,Total_Teacher,Total_Male,Total_Female
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),2,UPS (I-VIII) ,4,Graduate,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,7,54,0,7,9,34,1,2,3,6,0,0,1,3,127,21,106
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),1,PS (I-V) ,4,Graduate,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,2,14,1,2,3,4,0,0,0,0,0,0,0,0,26,6,20
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),8,SS (IX-X),3,Higher secondary,6,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),6, SS (I-X) ,3,Higher secondary,7,Diploma/degree in special education,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,2,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),11,HSS (XI-XII),3,Higher secondary,7,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),11,HSS (XI-XII),3,Higher secondary,6,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),2,UPS (I-VIII) ,3,Higher secondary,7,Diploma/degree in special education,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,8,0,8
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,2,UPS (I-VIII) ,4,Graduate,5,Others,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,4,3,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,8,SS (IX-X),4,Graduate,3,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,8,5,3
2018-19,29,Karnataka,2921,BENGALURU RURAL,1,Department of Education,6, SS (I-X) ,4,Graduate,3,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,1,9,6,0,0,0,0,16,9,7
