Academic_Year,State_Code,State_Name,District_Code,District_Name,School_Management_Id,School_Management_Name,School_Category_Id,School_Category_Name,Academic_Qualification_Id,Academic_Qualification_Name,Professional_Qualification_Id,Professional_Qualification_Name,Only_Pre_Primary_Male,Only_Pre_Primary_Female,Pre_Primary_and_Primary_Male,Pre_Primary_and_Primary_Female,Only_Primary_Male,Only_Primary_Female,Primary_and_Upperprimary_Male,Primary_and_Upperprimary_Female,Only_Upperprimary_Male,Only_Upperprimary_Female,Upperprimary_and_Secondary_Male,Upperprimary_and_Secondary_Female,Only_Secondary_Male,Only_Secondary_Female,Secondary_and_Highersecondary_Male,Secondary_and_Highersecondary_Female,Only_Highersecondary_Male,Only_Highersecondary_Female,Total_Teacher,Total_Male,Total_Female
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),11,HSS (XI-XII),4,Graduate,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,7,17,28,7,21
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),1,PS (I-V) ,4,Graduate,3,B.Ed. or equivalent,0,0,0,0,5,61,0,0,0,5,0,0,0,2,0,0,0,0,73,5,68
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),2,UPS (I-VIII) ,4,Graduate,3,B.Ed. or equivalent,0,0,0,0,9,147,4,18,11,124,2,14,3,11,0,0,0,14,357,29,328
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),7,SS (VI-X),4,Graduate,2,Bachelor of Elementary Education (B.El.Ed.),1,1,0,0,0,1,0,0,2,2,0,0,21,39,0,1,0,0,68,24,44
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),4,UPS (VI-VIII) ,4,Graduate,3,B.Ed. or equivalent,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,8,0,8
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),6, SS (I-X) ,4,Graduate,1,Diploma or certificate in basic teachers training of a duration not less than two years,14,27,0,3,86,652,25,139,73,507,6,21,62,489,3,15,0,25,2147,269,1878
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),1,PS (I-V) ,4,Graduate,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,1,11,0,0,0,2,0,0,0,0,0,0,0,0,14,1,13
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),5, HSS (VI-XII),4,Graduate,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,1,0,0,5,13,0,0,0,0,19,5,14
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),3,HSS (I-XII),4,Graduate,2,Bachelor of Elementary Education (B.El.Ed.),1,2,0,0,4,24,0,0,1,11,0,0,2,15,0,1,0,4,65,8,57
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),6, SS (I-X) ,4,Graduate,2,Bachelor of Elementary Education (B.El.Ed.),30,71,0,4,68,277,8,69,54,273,8,37,54,266,6,19,1,15,1260,229,1031
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),8,SS (IX-X),4,Graduate,1,Diploma or certificate in basic teachers training of a duration not less than two years,1,0,0,0,0,0,0,0,0,1,0,0,6,12,0,0,0,0,20,7,13
2018-19,29,Karnataka,2928,BENGALURU U NORTH,5,Private Unaided (Recognized),3,HSS (I-XII),4,Graduate,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,7,22,0,1,6,38,0,0,4,24,0,0,0,2,104,17,87
