country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM","12-11-2025 02:00:00",19.11074,72.86084,NO2,42,135,85
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM","12-11-2025 02:00:00",19.11074,72.86084,NH3,7,21,14
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB","12-11-2025 02:00:00",19.0364585,72.8954371,PM2.5,80,154,104
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB","12-11-2025 02:00:00",19.0364585,72.8954371,NO2,14,80,46
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB","12-11-2025 02:00:00",19.0364585,72.8954371,NH3,2,3,2
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB","12-11-2025 02:00:00",19.0364585,72.8954371,SO2,1,17,6
India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB","12-11-2025 02:00:00",19.10078,72.87462,PM10,NA,NA,NA
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB","12-11-2025 02:00:00",20.555712,74.529236,CO,40,48,44
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB","12-11-2025 02:00:00",19.296481,72.840923,PM2.5,NA,NA,NA
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB","12-11-2025 02:00:00",19.296481,72.840923,NH3,NA,NA,NA
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB","12-11-2025 02:00:00",19.296481,72.840923,CO,10,56,20
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM","12-11-2025 02:00:00",19.053536,72.84643,PM10,168,303,227
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM","12-11-2025 02:00:00",19.053536,72.84643,NH3,19,58,40
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM","12-11-2025 02:00:00",19.053536,72.84643,CO,5,52,32
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB","12-11-2025 02:00:00",19.065931,72.862131,NH3,4,35,14
India,"Madhya Pradesh",Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB","12-11-2025 02:00:00",22.624758,75.675238,NO2,13,54,35
India,"Madhya Pradesh",Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab","12-11-2025 02:00:00",23.331731,75.045981,PM2.5,11,226,88
India,"Madhya Pradesh",Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab","12-11-2025 02:00:00",23.331731,75.045981,PM10,108,271,157
India,"Madhya Pradesh",Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab","12-11-2025 02:00:00",23.331731,75.045981,SO2,18,20,19
India,"Madhya Pradesh",Satna,"Bandhavgar Colony, Satna - Birla Cement","12-11-2025 02:00:00",24.58434363,80.8549414,PM2.5,43,47,45
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB","12-11-2025 02:00:00",19.10122,74.73339,NO2,14,24,20
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB","12-11-2025 02:00:00",19.962900,79.298714,NH3,2,2,2
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB","12-11-2025 02:00:00",19.962900,79.298714,CO,22,41,33
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB","12-11-2025 02:00:00",19.9775302,79.2337086,PM10,115,230,167
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB","12-11-2025 02:00:00",19.9775302,79.2337086,OZONE,17,19,18
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB","12-11-2025 02:00:00",20.918946,74.776388,SO2,7,14,11
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB","12-11-2025 02:00:00",19.854616,75.905894,SO2,5,18,12
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB","12-11-2025 02:00:00",19.25292,73.142019,PM2.5,17,137,58
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB","12-11-2025 02:00:00",19.25292,73.142019,PM10,54,139,77
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB","12-11-2025 02:00:00",16.7143745,74.2426398,NH3,2,4,2
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB","12-11-2025 02:00:00",20.719516,77.000253,SO2,1,40,16
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB","12-11-2025 02:00:00",20.9402359,77.7895248,NH3,2,2,2
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","12-11-2025 02:00:00",19.875620,75.387310,PM10,67,161,104
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","12-11-2025 02:00:00",19.863756,75.321188,NH3,NA,NA,NA
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","12-11-2025 02:00:00",19.863756,75.321188,SO2,NA,NA,NA
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","12-11-2025 02:00:00",19.863756,75.321188,OZONE,9,75,13
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB","12-11-2025 02:00:00",19.309073,73.057223,CO,21,46,37
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","12-11-2025 02:00:00",23.50016,80.23284,NO2,12,78,50
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","12-11-2025 02:00:00",23.50016,80.23284,CO,12,129,98
India,"Madhya Pradesh",Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","12-11-2025 02:00:00",23.108440,77.511428,OZONE,4,142,17
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB","12-11-2025 02:00:00",19.854616,75.905894,PM10,73,153,101
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM","12-11-2025 02:00:00",18.96702,72.84214,SO2,6,12,9
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM","12-11-2025 02:00:00",18.96702,72.84214,OZONE,14,305,90
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB","12-11-2025 02:00:00",19.1878657,72.8304069,PM10,NA,NA,NA
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB","12-11-2025 02:00:00",19.1878657,72.8304069,SO2,15,16,15
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB","12-11-2025 02:00:00",19.1750,72.9419,NH3,3,4,3
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM","12-11-2025 02:00:00",18.897756,72.813320,OZONE,8,123,14
India,Maharashtra,Mumbai,"Powai, Mumbai - MPCB","12-11-2025 02:00:00",19.137500,72.915056,NO2,7,8,8
India,Maharashtra,Mumbai,"Powai, Mumbai - MPCB","12-11-2025 02:00:00",19.137500,72.915056,CO,16,17,16
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC","12-11-2025 02:00:00",19.000084,72.856730,PM2.5,1,303,27
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC","12-11-2025 02:00:00",19.000084,72.856730,PM10,20,413,104
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC","12-11-2025 02:00:00",19.000084,72.856730,OZONE,76,315,198
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC","12-11-2025 02:00:00",19.060498,72.923356,PM10,114,191,152
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC","12-11-2025 02:00:00",19.060498,72.923356,NH3,2,5,3
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM","12-11-2025 02:00:00",19.000083,72.813993,CO,20,79,39
India,Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB","12-11-2025 02:00:00",19.383200,72.820400,PM2.5,29,71,45
India,Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB","12-11-2025 02:00:00",19.383200,72.820400,NH3,3,5,4
India,Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB","12-11-2025 02:00:00",19.383200,72.820400,OZONE,11,22,15
India,Maharashtra,Mumbai,"Vile Parle West, Mumbai - MPCB","12-11-2025 02:00:00",19.10861,72.83622,PM10,NA,NA,NA
India,Maharashtra,Mumbai,"Vile Parle West, Mumbai - MPCB","12-11-2025 02:00:00",19.10861,72.83622,NO2,9,30,26
India,Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB","12-11-2025 02:00:00",21.143383,79.048912,SO2,29,126,49
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB","12-11-2025 02:00:00",19.173852,77.296291,PM10,101,145,126
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB","12-11-2025 02:00:00",19.173852,77.296291,CO,17,28,22
India,Maharashtra,Nashik,"Gangapur Road, Nashik - MPCB","12-11-2025 02:00:00",20.0073285,73.7762427,OZONE,NA,NA,NA
India,Maharashtra,Nashik,"Hirawadi, Nashik - MPCB","12-11-2025 02:00:00",20.021503,73.813844,PM10,85,261,139
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB","12-11-2025 02:00:00",19.950220,73.731480,PM10,68,279,121
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB","12-11-2025 02:00:00",19.950220,73.731480,NH3,4,7,5
India,Maharashtra,"Navi Mumbai","Kopripada-Vashi, Navi Mumbai - MPCB","12-11-2025 02:00:00",19.090337,73.014232,NO2,13,53,30
India,Maharashtra,"Navi Mumbai","Kopripada-Vashi, Navi Mumbai - MPCB","12-11-2025 02:00:00",19.090337,73.014232,OZONE,3,73,18
India,Maharashtra,"Navi Mumbai","Mahape, Navi Mumbai - MPCB","12-11-2025 02:00:00",19.1135051,73.008978,NO2,34,36,35
India,Maharashtra,"Navi Mumbai","Mahape, Navi Mumbai - MPCB","12-11-2025 02:00:00",19.1135051,73.008978,NH3,3,3,3
India,Maharashtra,"Navi Mumbai","Mahape, Navi Mumbai - MPCB","12-11-2025 02:00:00",19.1135051,73.008978,OZONE,8,15,10
India,Maharashtra,"Navi Mumbai","Nerul, Navi Mumbai - MPCB","12-11-2025 02:00:00",19.008751,73.016620,PM2.5,72,218,119
India,Maharashtra,"Navi Mumbai","Sanpada, Navi Mumbai - MPCB","12-11-2025 02:00:00",19.0575752,73.0151367,SO2,1,20,10
India,Maharashtra,"Navi Mumbai","Sanpada, Navi Mumbai - MPCB","12-11-2025 02:00:00",19.0575752,73.0151367,CO,20,96,57
