state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,anganwadi_id,anganwadi_name,no_of_student,anganwadi_category,update_date
Karnataka,"Bengaluru Urban",Anekal,Byagadadevanahalli,Byagadadenahalli,Byagadadenahalli,0000373346,0000056500,Byagadadenahalli,85,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Byagadadevanahalli,Thatnahalli,Thatnahalli,0000373344,0001786470,Thatnahalli,50,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Byagadadevanahalli,Yellammanapalya,Yellamanapalya,0000373342,0001786484,Yellamanapalya,42,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Byagadadevanahalli,Doddahagde,Doddahagde,0000373341,0000056494,Doddahagde,41,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Byagadadevanahalli,Soppahalli,Soppahalli,0000373340,0001786463,Soopahalli,39,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Byagadadevanahalli,Chikkahagde,Chikkahagde,0000373337,0001786093,Chikkahagde,53,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Kadajakanahalli,Kadajakanahalli,0000373334,0000056489,Kadajakanahalli,49,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Nagaiahadoddi,Nagaiahabadoddi,0000373332,0001799386,"Nagaiahadoddi (Mini)",34,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Marsoor,Bandapura,Bandapura,0000373313,0001327804,Bandapura,57,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Surgajakanahalli,Sonnayakanapura,Sonnayakanapura,0000373288,0000056436,Sonnayakanapura,25,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Surgajakanahalli,Honnakalaspura,Honnakalaspura,0000373285,0001807501,Honnakalaspura,34,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Surgajakanahalli,Gowrenahalli,Gowrenahalli,0000373284,0000056433,"Gowrenahalli A",97,Govt.,2024-06-07
