state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,scheme_id,schemes_sources_id,source_type,sourcetype_category,location,scheme_name,sanction_year,estimated_cost,expenditure,dateof_commencement,dateof_completion,update_date
Karnataka,"Bengaluru Urban","Bangalore North",Lakshmipura,Gangondanahalli,Gangondanahalli,0001622923,0007172514,2406936,"Deep Tubewell","Ground Water","village limit","ST COLONY Revival of MWS Scheme",2015-2016,5.00000,0.00000,"25 Oct 2015","31 Mar 2016",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Kodigehalli,Gangadipura,Gongadipura,0000373628,0002601413,2407001,"Deep Tubewell","Ground Water","village limit","community tarrafil units",2010-2011,0.55000,0.00000,"04 Nov 2010","10 Nov 2011",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Huskur,Torenagasandra,Torenagasandra,0000373693,0001758744,1507862,"Deep Tubewell","Ground Water","Bilijogi road","village limits",2008-2009,3.00000,1.50000,"10 Mar 2009","30 May 2010",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Madavara,Madavara,Madavara,0000373744,0001761036,1510176,"Deep Tubewell","Ground Water","Nandishwara Road","Shaneshwara Temple",2006-2007,12.00000,10.31000,"10 Apr 2009","31 Oct 2010",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Siddanahosahalli,Siddanahosahalli,Siddanahosahalli,0000373707,0001762557,1511621,"Deep Tubewell","Ground Water",Aralikatte,PWS,2007-2008,13.00000,11.28000,"12 Jun 2008","30 May 2010",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Lakshmipura,"K G Srikantapura","K G Srikantapura",0000373751,0001763333,1512308,"Deep Tubewell","Ground Water","Left side of the road","Revival of MWS",2007-2008,3.00000,1.29000,"10 Mar 2009","30 Jun 2009",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Madavara,Madavara,Madavara,0000373744,0008235867,1512329,"Deep Tubewell","Ground Water","at Buddha Jyothi Layout","15 crore 04022021 Drilling of Borewell at Madavara habitaion Madavara  village, Madavara GP, Bangalore North Taluk.",2020-2021,3.20000,3.08703,"15 Feb 2021","03 May 2023",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Madavara,Hottappanapalya,Hottapanapalya,0000373746,0001764179,1513145,"Deep Tubewell","Ground Water","near school","School side",2008-2009,15.00000,10.19000,"02 Jan 2009","30 Aug 2010",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Somashettihalli,Lakshmipura,Lakshmipura,0000373655,0005235506,5179800,"Deep Tubewell","Ground Water","Village limit","Revival of PWS",2012-2013,6.40000,0.00000,"07 Jan 2013","20 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Somashettihalli,Ganigarahalli,Ganigarahalli,0000373652,0005235509,5179803,"Deep Tubewell","Ground Water","Maruthi Nagara","Revival of PWS",2012-2013,5.70000,5.88756,"07 Jan 2013","03 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Chikkabanawara,Chikkabanawara,"Vinayaka Badavane",0001725158,0005235511,5179805,"Deep Tubewell","Ground Water","4th Block near Shaneswara Temple","Revival of PWS",2012-2013,6.00000,0.00000,"07 Jan 2013","20 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Chikkabanawara,Chikkabanawara,Dasappanapalya,0000373647,0005235514,5179808,"Deep Tubewell","Ground Water","4th Block Near Shaneswara Temple","Revival of PWS",2012-2013,6.00000,5.98897,"07 Jan 2013","03 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Chikkabanawara,Chikkabanawara,"Vinayaka Badavane",0001725158,0005235515,5179809,"Deep Tubewell","Ground Water","2nd Block Vishweswaraiah Badavane","Revival of PWS",2012-2013,5.70000,5.28869,"07 Jan 2013","03 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Dasanapura,Nagarur,Nagapura,0000373671,0005361618,5298270,"Deep Tubewell","Ground Water","Village limit","Drilling of BW",2012-2013,1.80000,1.58329,"07 Mar 2013","31 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Chikkabanawara,Chikkabanawara,Ganapatinagara,0001725160,0005363171,5300169,"Deep Tubewell","Ground Water",Vinayakabadavane,"Drilling of BW",2012-2013,1.80000,0.00000,"07 Mar 2013","10 May 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Siddanahosahalli,Dombarahalli,Dombarahalli,0000373708,0005506757,5442615,"Deep Tubewell","Ground Water","Village limit","Providing PWS Scheme",2013-2014,25.00000,25.00000,"15 Sep 2013","01 Mar 2015",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Madanayakanahalli,Madanayakanahalli,Madanayakanahalli,0000373703,0005508610,5444539,"Deep Tubewell","Ground Water",Hosabadavane,"Revival of PWS Scheme",2013-2014,10.00000,9.68349,"25 Aug 2013","25 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Lakshmipura,"K G Srikantapura","K G Srikantapura",0000373751,0005508657,5444600,"Deep Tubewell","Ground Water","Village limiit","Revival of MWS Scheme",2013-2014,5.00000,0.00000,"15 Sep 2013","01 Mar 2015",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Shrikantapura,Totadaguddadahalli,"Prakruthi Nagara",0001725170,0005508703,5444650,"Deep Tubewell","Ground Water","Village limit","G Revival of MWS Scheme",2013-2014,5.00000,4.23871,"15 Sep 2013","31 Oct 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Shrikantapura,Totadaguddadahalli,Totadaguddadahalli,0000373749,0005508718,5444667,"Deep Tubewell","Ground Water","Village limit","Revival of MWS Scheme",2013-2014,5.00000,5.12409,"20 Aug 2013","01 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Kittanahalli,Bettahalli,Bettahalli,0000373721,0005511287,5447574,"Deep Tubewell","Ground Water","Village limit","Revival of MWS Scheme",2013-2014,7.50000,0.00000,"25 Sep 2013","15 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Sondekoppa,Sondekoppa,Gayathrinagar,0000373741,0005525636,5467356,"Deep Tubewell","Ground Water","Village limit","G Revival of MWS Scheme",2013-2014,7.50000,8.47118,"28 Aug 2013","01 Oct 2015",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Somashettihalli,Lakshmipura,Lakshmipura,0000373655,0005545750,5498547,"Deep Tubewell","Ground Water","Village limit","Improvements to Water Supply Scheme",2013-2014,25.00000,22.55563,"15 Sep 2013","28 Feb 2015",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Somashettihalli,Kebbepalya,Kebbepalya,0000373653,0005545802,5498589,"Deep Tubewell","Ground Water","Maruthinagara  Somashettihalli","Revival of MWS Scheme",2013-2014,10.00000,6.20898,"15 Sep 2013","20 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Somashettihalli,"Kere Guddadahalli",Kereguddadahalli,0000373656,0005545830,5498612,"Deep Tubewell","Ground Water","Village limit","Revival of MWS Scheme",2013-2014,5.00000,0.00000,"15 Sep 2013","25 Feb 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Chikkabanawara,Chikkabanawara,Veerashettyhalli,0000373646,0005834531,250008471,"Deep Tubewell","Ground Water","Village limit","Drinking Water Facility to Anganawadi",2013-2014,1.00000,0.00000,"15 Sep 2013","10 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Sondekoppa,Lakkenahalli,Lakkenahalli,0000373733,0005834543,250008479,"Deep Tubewell","Ground Water","Village limit","Drinking Water Facility to Anganawadi",2013-2014,1.00000,0.98931,"15 Sep 2013","03 Mar 2014",2024-06-07
